,loss,accuracy,val_loss,val_accuracy
0,2.3134543895721436,0.33245107531547546,1.9899200201034546,0.5552346706390381
1,1.5470432043075562,0.5544593930244446,1.4866282939910889,0.6425992846488953
2,1.1630961894989014,0.6643407344818115,1.3469178676605225,0.6274368166923523
3,0.9617347121238708,0.7203240394592285,0.8988510370254517,0.7487364411354065
4,0.8015303015708923,0.7676451802253723,0.5545026063919067,0.8512635231018066
5,0.7318275570869446,0.7904235124588013,0.630779504776001,0.8158844709396362
6,0.6581557393074036,0.8091112971305847,0.5581941604614258,0.8519855737686157
7,0.5787750482559204,0.8290824294090271,0.4834596514701843,0.8693140745162964
8,0.5475422143936157,0.8392685055732727,0.38950851559638977,0.8989169597625732
9,0.49778392910957336,0.8563522696495056,0.41999319195747375,0.8787003755569458
10,0.4469905495643616,0.8711902499198914,0.33289191126823425,0.9075812101364136
11,0.4314762055873871,0.8747994899749756,0.36452290415763855,0.90180504322052
12,0.4182039499282837,0.877045214176178,0.2884320914745331,0.9212996363639832
13,0.37587955594062805,0.8922040462493896,0.274791419506073,0.9292418956756592
14,0.37678441405296326,0.8866698741912842,0.29453733563423157,0.9234657287597656
15,0.365329772233963,0.8941289782524109,0.250601589679718,0.9328519701957703
16,0.3537463843822479,0.8948507905006409,0.24284985661506653,0.9314079284667969
17,0.32625964283943176,0.9019891023635864,0.24977993965148926,0.9328519701957703
18,0.29330500960350037,0.9113731384277344,0.22781887650489807,0.9400721788406372
19,0.2986975312232971,0.910490870475769,0.17846989631652832,0.9458483457565308
20,0.2777438759803772,0.917228102684021,0.1840493530035019,0.9537906050682068
21,0.2728637754917145,0.9189926385879517,0.20206277072429657,0.9444043040275574
22,0.26981955766677856,0.9159448146820068,0.20426735281944275,0.942960262298584
23,0.2566251754760742,0.922922670841217,0.1454683095216751,0.9610108137130737
24,0.2350914031267166,0.9292588829994202,0.18773169815540314,0.9444043040275574
25,0.2359909862279892,0.9293391108512878,0.18422909080982208,0.9422382712364197
26,0.22696660459041595,0.9333493709564209,0.1875566989183426,0.9501805305480957
27,0.23678039014339447,0.9298203587532043,0.20764343440532684,0.9451263546943665
28,0.23845843970775604,0.9274141788482666,0.12291773408651352,0.9689530730247498
29,0.2189410775899887,0.9337503910064697,0.14785605669021606,0.9602888226509094
30,0.2186584621667862,0.9351139068603516,0.17120684683322906,0.9537906050682068
31,0.20402972400188446,0.9385626912117004,0.14708304405212402,0.9566786885261536
32,0.20324334502220154,0.9392043352127075,0.13192366063594818,0.9617328643798828
33,0.1938268542289734,0.9424125552177429,0.14777091145515442,0.9617328643798828
